"iata","name","city","subd","country","lat","lon","iso"
"SIA","Xiguan Airport","Xi'an","Shaanxi","China","34.3767","109.12","CN"
"THQ","Tianshui Maijishan Airport","Tianshui","Gansu","China","34.5594","105.86","CN"
"XNN","Xining Caojiabu Airport","Xining","Qinghai","China","36.5275","102.043","CN"
"XIY","Xi'an Xianyang International Airport","Xianyang","Shaanxi","China","34.4471","108.752","CN"
"ENY","Yan'an Airport","Yan'an","Shaanxi","China","36.6369","109.554","CN"
"UYN","Yulin Airport","Yulin","Shaanxi","China","38.2692","109.731","CN"
"ZHY","Zhongwei Shapotou Airport","Zhongwei","Ningxia Hui Autonomous Region","China","37.57278","105.15444","CN"
"YZY","Ganzhou","Zhangye","Gansu","China","38.8075","100.66083","CN"
"AVK","Arvaikheer Airport","Arvaikheer","Oevorhangay","Mongolia","46.2503","102.802","MN"
"LTI","Altai Airport","Altai","Govi-Altay","Mongolia","46.3764","96.2211","MN"
"BYN","Bayankhongor Airport","Bayankhongor","Bayanhongor","Mongolia","46.1633","100.704","MN"
"UGA","Bulgan Airport","Bulgan","Bulgan","Mongolia","48.855","103.476","MN"
"UGT","Bulagtai Resort Airport","Umnugobitour","Oemnogovi","Mongolia","43.7493","104.11499","MN"
"HBU","Bulgan Sum Airport","","Hovd","Mongolia","46.1006","91.5842","MN"
"UUN","Baruun Urt Airport","","Suehbaatar","Mongolia","46.6603","113.285","MN"
"COQ","Choibalsan Airport","","East Aimak","Mongolia","48.1357","114.646","MN"
"UBN","Chinggis Khaan International Airport","Ulaanbaatar","Ulaanbaatar","Mongolia","47.64667","106.82","MN"
"DLZ","Dalanzadgad Airport","Dalanzadgad","Oemnogovi","Mongolia","43.5917","104.43","MN"
"KHR","Kharkhorin Airport","","Oevorhangay","Mongolia","47.24667","102.82611","MN"
"HJT","Khujirt Airport","","Oevorhangay","Mongolia","46.9258","102.773","MN"
"HVD","Khovd Airport","Khovd","Hovd","Mongolia","47.9541","91.6282","MN"
"MXV","Moron Airport","Moron","Hovsgol","Mongolia","49.6633","100.099","MN"
"ULN","Buyant-Ukhaa International Airport","Ulan Bator","Ulaanbaatar","Mongolia","47.8431","106.767","MN"
"ULO","Ulaangom Airport","","Uvs","Mongolia","49.97333","92.07972","MN"
"ULG","Ulgii Mongolei Airport","","Bayan-Oelgiy","Mongolia","48.9933","89.9225","MN"
"BSD","Baoshan Yunduan Airport","","Yunnan","China","25.0533","99.1683","CN"
